Image_Path,Semantic_Label_Path,Image_Label,Image_label
F3_Block/data/train/images/0.png,F3_Block/data/train/labels/0.png,0,0
F3_Block/data/train/images/1.png,F3_Block/data/train/labels/1.png,1,0
F3_Block/data/train/images/10.png,F3_Block/data/train/labels/10.png,10,2
F3_Block/data/train/images/100.png,F3_Block/data/train/labels/100.png,100,21
F3_Block/data/train/images/101.png,F3_Block/data/train/labels/101.png,101,21
F3_Block/data/train/images/102.png,F3_Block/data/train/labels/102.png,102,21
F3_Block/data/train/images/103.png,F3_Block/data/train/labels/103.png,103,22
F3_Block/data/train/images/104.png,F3_Block/data/train/labels/104.png,104,22
F3_Block/data/train/images/105.png,F3_Block/data/train/labels/105.png,105,22
F3_Block/data/train/images/106.png,F3_Block/data/train/labels/106.png,106,22
F3_Block/data/train/images/107.png,F3_Block/data/train/labels/107.png,107,22
F3_Block/data/train/images/108.png,F3_Block/data/train/labels/108.png,108,23
F3_Block/data/train/images/109.png,F3_Block/data/train/labels/109.png,109,23
F3_Block/data/train/images/11.png,F3_Block/data/train/labels/11.png,11,2
F3_Block/data/train/images/110.png,F3_Block/data/train/labels/110.png,110,23
F3_Block/data/train/images/111.png,F3_Block/data/train/labels/111.png,111,23
F3_Block/data/train/images/112.png,F3_Block/data/train/labels/112.png,112,23
F3_Block/data/train/images/113.png,F3_Block/data/train/labels/113.png,113,24
F3_Block/data/train/images/114.png,F3_Block/data/train/labels/114.png,114,24
F3_Block/data/train/images/115.png,F3_Block/data/train/labels/115.png,115,24
F3_Block/data/train/images/270.png,F3_Block/data/train/labels/270.png,270,57
F3_Block/data/train/images/271.png,F3_Block/data/train/labels/271.png,271,58
F3_Block/data/train/images/272.png,F3_Block/data/train/labels/272.png,272,58
F3_Block/data/train/images/273.png,F3_Block/data/train/labels/273.png,273,58
F3_Block/data/train/images/274.png,F3_Block/data/train/labels/274.png,274,58
F3_Block/data/train/images/275.png,F3_Block/data/train/labels/275.png,275,58
F3_Block/data/train/images/276.png,F3_Block/data/train/labels/276.png,276,59
F3_Block/data/train/images/277.png,F3_Block/data/train/labels/277.png,277,59
F3_Block/data/train/images/278.png,F3_Block/data/train/labels/278.png,278,59
F3_Block/data/train/images/279.png,F3_Block/data/train/labels/279.png,279,59
F3_Block/data/train/images/28.png,F3_Block/data/train/labels/28.png,28,5
F3_Block/data/train/images/280.png,F3_Block/data/train/labels/280.png,280,59
